exp,condition,probe_idx,F_mean,F_SD_bootstrap,F_SE_jackknife,N_valid,method,R2_fit,drop_deg,notes
Exp1,Exp1,P1,0.6999999999999935,8.920187807282363e-12,0.009670573660896206,19,A+B,-89.67454628068384,,probe mean aftereffect=-8.87
Exp1,Exp1,P2,0.6999999999999988,3.855851428522594e-08,0.036277570731629266,19,A+B,-152.9687421206442,,probe mean aftereffect=-12.21
Exp1,Exp1,P3,0.7,4.054554814784857e-08,,19,A+B,-151.66908478861282,,probe mean aftereffect=-13.25
Exp1_Control,Exp1_Control,P1,0.6999999999999992,0.29915417817052675,0.03326074682143156,19,A+B,0.154530145277201,,probe mean aftereffect=-0.27
Exp1_Control,Exp1_Control,P2,0.6999999999999998,0.2667487783306114,0.029327532385428814,19,A+B,-4.730870806660056,,probe mean aftereffect=-1.38
Exp1_Control,Exp1_Control,P3,0.7,0.32840504626010014,0.03083394754328054,19,A+B,-1.8042561058902287,,probe mean aftereffect=-0.88
Exp2ProbI,Exp2ProbI,P1,0.6999999999999986,2.683016056643241e-08,,18,A+B,-152.07953042140764,,probe mean aftereffect=-11.37
Exp2ProbI,Exp2ProbI,P2,0.7,2.6019333663183202e-08,,18,A+B,-21.133732149945093,,probe mean aftereffect=-23.38
Exp2ProbI,Exp2ProbI,P3,0.7,7.555280581498558e-08,0.0793608321156676,18,A+B,-36.47305175777162,,probe mean aftereffect=-13.99
Exp2ProbE,Exp2ProbE,P1,0.057563849498437736,0.1662377831260131,0.012638895364801502,20,A+B,0.4123167757435534,,probe mean aftereffect=1.79
Exp2ProbE,Exp2ProbE,P2,0.6999999999852609,0.1374223136043594,0.024260746708397625,20,A+B,-1.5470996280131146,,probe mean aftereffect=-2.02
Exp2ProbE,Exp2ProbE,P3,0.6999999999996178,0.04418325467181828,0.04503253622002402,20,A+B,-45.36229760212225,,probe mean aftereffect=-5.11
Exp2ProbE,Exp2ProbE,P4,0.699999999998975,0.06235878369656809,0.037745609796572654,20,A+B,-9.721802453415043,,probe mean aftereffect=-3.87
Exp2ProbE,Exp2ProbE,P5,0.6999999999998603,0.04418325474354237,0.040101449597224524,20,A+B,-37.15769526559508,,probe mean aftereffect=-5.33
Exp3,aim,washout,0.04243768478434329,0.03226511105419808,,12,A,0.35392280031858625,,bins 46-50 only (no-feedback)
Exp3,Clamp,washout,0.12028553259225405,0.016749530148533903,,30,A,0.9539426031252836,,bins 51-68
Exp4,aim,Break1,0.2299427806775682,,0.14681053892988716,30,C,,1.6021949792904735,5-trial pre/post
Exp4,aim,Break2,-0.002266008607774006,,0.045459069769436665,30,C,,0.43550251067892665,5-trial pre/post
Exp4,aim,Break3,0.005104487119769933,,0.02625580154684256,30,C,,0.3139647424373522,5-trial pre/post
Exp4,Clamp,Break1,0.06900059623643778,,0.10094427291653375,60,C,,1.4195356347103043,"5-bin pre/post, negated"
Exp4,Clamp,Break2,0.5571305772056576,,0.25917093123317675,60,C,,1.3920138078144186,"5-bin pre/post, negated"
Exp4,Clamp,Break3,-0.2806656564745604,,0.205001597750799,60,C,,1.2086225453503572,"5-bin pre/post, negated"
